iter	Logloss	Accuracy
917	0.2198119546	0.93625
918	0.2197497996	0.93625
919	0.2197146855	0.93625
920	0.2196545244	0.93625
921	0.2193667269	0.93625
922	0.2193215689	0.93625
923	0.2192576146	0.93625
924	0.2190474744	0.9375
925	0.2190147235	0.93925926	0.2189797402	0.926	0927	0.2189601325	927	0.2928	0.21870502928	0.2476929	0.218376929	0.247536930	0.2181930	0.24746034931	0.21931	0.2473402516932	0.932	0.2471742651	0933	933	0.2470245919	0.993934	0.2468101086	0.92
935	0.2467404921	0.92
936	0.2466249041	0.92
937	0.2466180965	0.92
938	0.2465839508	0.92
939	0.2465357016	0.92
940	0.2464327747	0.92
941	0.2463959795	0.92
942	0.2461521716	0.92125
943	0.246113115	0.92125
944	0.2460823135	0.92125
945	0.2459571555	0.92125
946	0.2455764242	0.92125
947	0.2454880237	0.92125
948	0.2452973593	0.92125
949	0.2452448285	0.92125
950	0.2450624297	0.9225
951	0.2450259766	0.9225
952	0.2449735326	0.9225
953	0.2449220566	0.9225
954	0.2448726012	0.9225
955	0.2448605019	0.9225
956	0.2446933131	0.9225
957	0.2446458176	0.9225
958	0.2445494424	0.9225
959	0.2444866574	0.9225
960	0.2442982667	0.9225
961	0.244036669	0.92125
962	0.2439667082	0.92125
963	0.2438115211	0.92125
964	0.2437193258	0.92125
965	0.2436091532	0.92125
966	0.243488774	0.92125
967	0.243392613	0.92125
968	0.2433453669	0.92125
969	0.24327143	0.92125
970	0.2432056172	0.92125
971	0.2429974587	0.9225
972	0.2429542769	0.9225
973	0.2428112202	0.9225
974	0.2426550334	0.9225
975	0.2425743026	0.92259976	0.242479056	0.92297977	0.2424254547	0.9978	978	0.242359665	0.979	0979	0.2423284598	980	0.2980	0.242261447981	0.212981	0.2422181982	0.21231982	0.24213983	0.2122962983	0.242984	0.212204001984	0.2985	0.2120379413	985	0986	0.2119673663	0.986987	0.2119112616	0.998988	0.2117415363	0.94
989	0.2117274259	0.94
990	0.2115573679	0.94
991	0.2114421744	0.94
992	0.2111710747	0.94
993	0.2110351814	0.94
994	0.2109812219	0.94
995	0.2109570016	0.94
996	0.2109045254	0.94
997	0.2108173055	0.94
998	0.2107312086	0.94
999	0.2106886867	0.94
5
998	0.2404733703	0.92375
999	0.2403923045	0.9225
5958	0.9998	0998	0.2293502634	0.9999	0999	0.2293104183	0.93125
0.2128296014	0.93375
999	0.212685726	0.93375
79	0.93875
999	0.2151704206	0.93875
705	999	0.23999	0.2170152057	0.93375
84664	0.93625
999	0.2125130367	0.93625
88	0.9300873908
809	0.2386183035	0.9300873908
810	0.2384977504	0.9300873908
811	0.2384091805	0.9300873908
812	0.2383220119	0.9300873908
813	0.2382543927	0.9300873908
814	0.2380535283	0.9300873908
815	0.2379086432	0.9300873908
816	0.23784062	0.9300873908
817	0.2377471281	0.9300873908
818	0.2376071424	0.9300873908
819	0.2374843787	0.9300873908
820	0.2374338361	0.9300873908
821	0.2372549425	0.9300873908
822	0.2372466049	0.9300873908
823	0.2371398465	0.9300873908
824	0.2371284279	0.9300873908
825	0.2371035481	0.9300873908
826	0.236797605	0.9300873908
827	0.2366219248	0.9300873908
828	0.2365447396	0.9300873908
829	0.2364029816	0.9300873908
830	0.2362927088	0.9300873908
