iter	Precision_SumError	Precision_SumWeight	Recall_SumError	Recall_SumWeight	F1_TP	F1_TP+FP	F1_TP+FN
834	240	271	240	340	240	271	340
835	241	274	241	340	241	274	340
836	241	274	241	340	241	274	340
837	241	274	241	340	241	274	340
838	240	273	240	340	240	273	340
839	240	273	240	340	240	273	340
840	241	274	241	340	241	274	340
841	240	272	240	340	240	272	340
842	241	273	241	340	241	273	340
843	241	273	241	340	241	273	340
844	241	273	241	340	241	273	340
845	241	273	241	340	241	273	340
846	241	273	241	340	241	273	340
847	241	273	241	340	241	273	340
848	240	272	240	340	240	272	340
849	240	270	240	340	240	270	340
850	240	270	240	340	240	270	340
851	241	271	241	340	241	271	340
852	241	271	241	340	241	271	340
853	241	271	241	340	241	271	340
854	241	271	241	340	241	271	340
855	241	271	241	340	241	271	340
856	241	271	241	340	241	271	340
857	241	271	241	340	241	271	340
858	241	271	241	340	241	271	340
